WARNING 2026-02-08 21:56:03,288 log 21952 20408 Bad Request: /api/department-head/login/
WARNING 2026-02-08 21:59:13,883 log 24024 17488 Unauthorized: /api/students/bulk-import/
WARNING 2026-02-08 22:03:28,576 log 1844 5068 Bad Request: /api/faculty/
WARNING 2026-02-08 22:23:01,112 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:01,113 log 1828 15312 Too Many Requests: /api/students/
WARNING 2026-02-08 22:23:01,116 log 1828 15312 Too Many Requests: /api/students/
WARNING 2026-02-08 22:23:01,560 log 1828 15312 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:01,562 log 1828 17488 Too Many Requests: /api/faculty/
WARNING 2026-02-08 22:23:01,565 log 1828 15312 Too Many Requests: /api/faculty/
WARNING 2026-02-08 22:23:14,112 log 1828 15312 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:14,113 log 1828 17488 Too Many Requests: /api/students/
WARNING 2026-02-08 22:23:14,116 log 1828 17488 Too Many Requests: /api/students/
WARNING 2026-02-08 22:23:14,383 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:14,385 log 1828 15312 Too Many Requests: /api/faculty/
WARNING 2026-02-08 22:23:14,388 log 1828 15312 Too Many Requests: /api/faculty/
WARNING 2026-02-08 22:23:14,648 log 1828 15312 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:14,649 log 1828 17488 Too Many Requests: /api/evaluation-forms/
WARNING 2026-02-08 22:23:14,653 log 1828 17488 Too Many Requests: /api/evaluation-forms/
WARNING 2026-02-08 22:23:14,902 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:15,153 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:15,154 log 1828 15312 Too Many Requests: /api/audit-logs/
WARNING 2026-02-08 22:23:15,157 log 1828 15312 Too Many Requests: /api/audit-logs/
WARNING 2026-02-08 22:23:15,448 log 1828 15312 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:15,696 log 1828 15312 Too Many Requests: /api/department-heads/2/
